,Tweet,Class,Encoded_Class
0,ایٹم بم بنایا ھے بھائی ایٹم بمب کوٹ لکھپت اتفاق فیکٹری بنتاایٹم بم کہوٹہ ایٹمی,P,2
1,چندے انقلاب عمران خان وزیر اعظم بن سکتے,N,0
2,ٹویٹر خیال,O,1
3,سرچ انجن گوگل نائب صدر فضا فٹ بلندی چھلانگ عالمی ریکارڈ قائم کرلیا چھلانگ,P,2
4,اسکی لہریں یار أ,P,2
5,گندی زبان گٹر دماغ جاہل جیالے جیالا جاہل ممکن,N,0
6,قاتل مقتول تمظالم مظلوم,N,0
7,نور بغداد گلیوں کرن مدینہ چلی,P,2
8,لفظوں شرارت ھے سنبہل بہی لکہنا محبت لفظ ھے اکثر بہی ھے,P,2
9,سمارٹ فون عادیوں ڈجٹل ڈیٹاکس کیپ متعارف,P,2
10,وزیر اعظم زیر صدارت پارلیمانی رہنماؤں اجلاس,P,2
11,سوچا شہباز شریف کام جہاں چھوڑا چودھری پرویز الہی چودھری پنجاب تباہ شہباز ترقیاتی کام پنجاب سنوار,P,2
12,تیز بارش گھنا پیڑ اک لڑکی ہوایسے منظر شہروں پائے,P,2
13,لاہور دھرنوں باعث سیاسی عدم استحکام معاملہ سنبھل میاں مجتبی,P,2
14,مؤرخ لکھے گاکہ مملکت خداد کڑا وقت ڈی جے پالنے کیلیے لیڈر چندہ مانگناپڑ گیاچندے انقلاب,N,0
16,اک کھیل مقدر بدل ہمیں پکار چھپا زوبی,P,2
17,ابن ڈیزل ہواکرے درد دوا,N,0
18,پی ٹی استعفے واپس لینے اعلان,P,2
19,پنجرے چھ طوطے طوطی چھیڑ رھے جبکہ دوسرے پنجرے,N,0
20,باجوڑ ایجنسی پولیو ٹیم حملہ لیوی اہلکار زخمی,N,0
21,سہیل بخاری کہنا تعزیتی ریفرنس یاسین ملک قریبی دوستوں شرکت افسوس,N,0
22,®انقلابدھرناڈیلماڈل ٹاؤن جاں بحق کوخون بہادینے علاوہ قادری کوعلیحدہ ستر کروڑدینے کابھی یقین دلایاگیارپورٹ,N,0
23,شرابی وقت شراب دور تھاایک مرتبہ دوست احباب جمع شراب تیار غلام,N,0
24,خیبر پختونخوا کام ھوا ھوتا عمران دھرنوں جواز بن,P,2
25,انشا ءاللہ بابے دا ڈیرہ ریخی قافلہ گجرات جلسہ شر کت ے ملک چاند محبوب,P,2
26,ا عمران خان دنوں شیدے دور بھگا چاہیے اسکے بیٹے پاکستان چھڑے چھانٹ اخلاقی گراوٹ شکار,N,0
27,فتح حق اورسچ ہوئیالطاف حسین کورابطہ کمیٹی مبارکباد,P,2
28,انقلاب ایجنڈا بدلا بدلے کیئرٹیکر حکومت قومی حکومت بن سکتی مک مکا حکومت چاھتے طاہر القادری,P,2
29,تحریک انصاف ضمنی انتخابات حصہ گیترجمان شیریں مزاری جی ہان قبضہ مافیا لوٹوں حمایت ضرور,N,0
30,مسلمانوں نیا اسلامی سال مبارک,P,2
31,برائی پہچانتا قریب ھے واقع ھو سیدنا عمر فاروق,N,0
32,ھو سکے تنہائیوں پڑھ لینا دل کتاب ھوں,P,2
33,اصلی طالبان لشکر جھنگوی اصلی خالص,P,2
34,وینا ملک بیٹا سوشل میڈیا مقبولیت شلپا شیٹھی بیٹے کراچی وینا ملک بیٹے ابرام خان,P,2
35,RT حکومتوں الگ فیصلہ حتمی رہنما ایم کیوایم فاروق ستار,N,0
36,اللہ نبی ﷺ شہادت خوشخبری دیدی,P,2
37,اسلام آباد چیرمین تحریک انصاف عمران خان کہنا محرم الحرام باوجود اسلام آباد,P,2
38,ڈیزل خان تمبو اکیلا پیشن گوئی ناکام ڈیزل خان,P,2
39,اک نئی طرز کردار گااس کہانی مار,N,0
40,قسم گندے الفاظ فضلو دھرنے خواتین بارے استعمال سیاسی مزھبی جماعتوں انکا بائکاٹ چاہئے,N,0
41,عالمی استعمار امریکا اسرائیل اورانکے نمک خوار سعودی عرب سینےمیں خنجر مانند ماہ محرم صفراور ربیع الاول,N,0
42,حق پرست رکن سندھ اسمبلی سمیتا افضال علالت جناب اظہار تشویش,N,0
43,ایم کیوایم ڈسٹرکٹ ملتان صدر ذیشان دلاور قریشی والدہ محترمہ انتقال رابطہ کمیٹی کااظہار تعزیت via,N,0
44,اتنا کام پڑا کھیل اردو بورڈ,P,2
45,محسن طلوع ماہ محرم ساتھ ہیہر دل مثال شہر خموشاں اداس,N,0
46,جنوبی پنجاب سارا پیسہ لاہور پہ لگتاہے پٹواری نئیں کہتا واقعی حق گجرات یونیورسٹی دکھ,P,2
47,ایم کیوایم قائد الطاف حسین تصنیف فلسفہ محبت انگریزی ترجمہ تقریب اجراء 24اکتوبر جمعہ شام میریٹ ہوٹل منعقد ہوگی,P,2
48,کھیل نماز الگ الگ ھیں اپ زرا پڑھا مینڈک اچھے نھیں ھوتے,P,2
49,دبئی پہلا ٹیسٹ آسٹریلیا خلاف پاکستان دوسری وکٹ گرگئی,N,0
50,سردار بنے علم حاصل کہیں سرداری غرور طلب علم روک جاہل بن زندگی گذارو سیدنا عمر فاروق,P,2
51,دس نارمل فیصل عابدییے رحلت فرماویں جعفر پیدا,N,0
52,ایم کیوایم آزاد کشمیر حکومت علیحدگی اعلان اسکے ساتھ حکومت اندر باہر عالمی ریکارڈ بنا سیاسی لطیفے,N,0
53,مشرق وسطی امریکا پالیسیوں نتائج بھگت,N,0
54,اوہ معذرت دھیانی کئی مہینوں فون سننا پڑ دماغ بند ہوگیا عادت فون بات پ,N,0
55,برطانوی فوج افغانستان آخری اڈاہ خالی کردیا,P,2
56,ڈات کہڑا آب عمر انٹہیک کپتان نیاء بنے پاکستان نیاء بنے پاکستان انشاء آللہ,P,2
57,دیکھے صلیبوں صورتیں پیمبروں دنیا بادشاہوں عادتیں گداگروں,P,2
58,اڑی اڑی رنگت کھلے کھلے گیسو صبح رات فسانہ,P,2
59,چیز ﷲ بندوں مانگنا چاہیے,P,2
60,کب ایساوہ صحیح غلط لڑائی,P,2
61,مار ک چھوڑ بول ساتھ سلوک,N,0
62,شہباز شریف جھنگ سیلاب زدگان چیک دئے کل باونس,P,2
63,سر جی بنتی یے چاٹی لسی بنوائی کھٹی کھٹی,P,2
64,پہلا ٹیسٹ آسٹریلیا کیخلاف پاکستان بیٹنگ جاری,P,2
65,احساس پیدا,P,2
66,حضرت مولانا محمود اشرف عثمانی صاحب مدظلہ حاجیوں کیلئے چند ھدایات,P,2
67,انصافی ٹائگر عمران خان معذور افراد ساتھ گزرے قیمتی,P,2
68,غم لاکھوں دکانداروں اک تبسم فروش بہتر,P,2
69,مشرف دوست شیرافگن فضل الرحمن کواس شرط اپوزیشن لیڈر بنایا مشرف پالیسیوں حمایت ڈیزل اصلیت,P,2
70,باہیک مری روڈ راولپنڈی ھوں میٹرو کام وجہ مری روڈ گرد غبار ھے ٹریفک جام معمول ھے,N,0
71,بلدیاتی انتخابات التوا ذمہ دار الیکشن کمیشن عمران خان,N,0
72,امریکا یورپی پارلیمنٹ بل قادری لاہورحکومت عوام,P,2
73,پشاور حزب اختلاف جانب محمد علی شاہ نام,P,2
74,ٹی وی فوٹو کھینچ گوگل کرکے تصویر,P,2
75,مبارک ہمیں پہ فخر اللہ آپکو مزید کامیابیاں عطا فرمائے آمین,P,2
76,حقے انگلش ساتھ بتائیے گٹکے انگلش کہتے,N,0
77,خدانخواستہ عمران خان گھر گھس تصویر,N,0
78,بھائ جھک مارو حق بس تمیز زندگی گزارو,P,2
79,ھائے چیز ھے محبت,P,2
80,ایرانی دہشتگرد امین شہیدی اگست اسلام آباد مولانا فضل الرحمن انتقام اعلان تھاوہی بس اللہ مولانا بچا,P,2
81,حدیثا اللہ کاذکر ایمان کاجھنڈا شیطان حفاظت قلعہ بھڑکتی آگ نارجہنم نجات کاذریعہ ھے گلدستہء فقر صفحہ118,P,2
82,ایکس نیوز۰ محرم الحرامایکس نیوز جانب مسلمانوں,P,2
83,اردو ٹرینڈ بہتر کپتان ڈیزل,P,2
84,بنوں مکانات کرائے بڑھ متاثرین بکاخیل کیمپ مجبور,N,0
85,واہ بات,P,2
86,شیخ شرم جسے چپڑاسی رکھوسچ چپڑاسی پارٹنر بنائے,N,0
87,حلقہ خواتین تحت ملک بھر اجتماع عام سلسلے بریفنگ ملاقاتوں سلسلہ جاری,P,2
88,چاھتا یھی وفا نکلے سمجھنے سلسلا نکلے,N,0
89,عمران بھائی اپ لطیفوں لوگ فی زور ہنستے شوز ٹکٹ پیسے مل مانگنے شرمندگی,P,2
90,تین چیزیں محبت بڑھانے ذریعہ ھیں سلام دوسروں مجلس جگہ خالی مخاطب بھترین نام پکارنا حضرت عمر,P,2
91,وقت تقاضا وسائل منصفانہ تقسیم انتظامی بنیادوں صوبے بنائے مالی وسیاسی اختیارات دئے وفاق مشترکہ وحدت بنے,P,2
92,لاہور اگلے جلسے واپس آجائیں,P,2
93,جناب اسپیکر آج نون لیگ منافق لیگ نام نون لیگ سچ بولنا,N,0
94,مک نام تیرا سیاست فسانے تیرا رونا بنتا زمانے,N,0
95,بھنگ نشہ اترتا,N,0
96,کشکول توڑنے دعوی پاکستان قرضوں ڈبو گیاغیر ملکی قرضے ارب ڈالر تجاوز پاکستانی زائد روپے مقروض قرضے کھرب پہنچ,N,0
97,آسان حدف بچوں میچ ہا ہا ہا ہا ہا,P,2
98,استیعفی مانگنے چندہ مانگنے آگئے,N,0
99,مریم نواز بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری وفاقی حکومت جواب طلب ہائی کورٹ,N,0
100,دس سائیکو اج خان چندہ گن,N,0
101,انقلاب لغت مایوسی یقینی ڈاکٹر طاہر القادری انقلاب,P,2
102,ربنا وتقبل دعاءاے رب دعا قبول فرما آمین رب العالمین,P,2
103,متروک مسترد کاسہ لیسوں مارچ حمایت تاریخی جرم ہوگا متروکمستردکاسہلیسوں کیکسیبھیمارچک,P,2
104,پی ایندھن ترسیل بحال مشکل ہوگیا پی ایس کراچیپی ایس پا,N,0
105,لاہور ہسپتال سیالکوٹ ہارون آباد چھوٹے یونٹس بنا,P,2
106,ہتھیاروں پابندی لگائی Pدوستوں ساتھ ضرور شئیر شکریہ,P,2
107,عمران خاں زنا ناجائز بچوں پرائیویٹ معاملہ کھتا ھے شخص پیچھے قوم چلنا چاھیے,N,0
108,لوٹ امیدیں ٹوٹ پائی بند پائے بہی در کہنا ملک عدنان احمد,N,0
109,غذائی قلت شکار مزید بچے سول اسپتال مٹھی دم توڑ تھر پارکرتھر پارکر غذائی قلت شکار م,N,0
110,سٹی ٹریفک پولیس رواں ماہ دوران مجموعی طورپردوسوبارہ مقدمات درج کرائے,N,0
111,مادر جمہوریت بیگم نصرت بھٹو ہبحاایران بیٹی نصرت بھٹو پاکستان ینب ںامانہوں سقوﻁ ڈھاک بکھرے,P,2
112,مولانا فضل الرحمن ملاقات کیلئے گورنر پنجاب وفاقی وزراء مشیروں مذہبی رہنماؤں تانتا بندھارہا,P,2
